row_key,xid,transaction_id,branch_id,resource_id,table_name,pk,gmt_create,gmt_modified
jdbc:mysql://127.0.0.1/seat-order^^^`order`^^^15,10.19.0.146:8091:2039283480,2039283480,2039283482,jdbc:mysql://127.0.0.1/seat-order,`order`,15,"2020-03-30 08:34:13","2020-03-30 08:34:13"
jdbc:mysql://127.0.0.1/seat-storage^^^storage^^^1,10.19.0.146:8091:2039283480,2039283480,2039283485,jdbc:mysql://127.0.0.1/seat-storage,storage,1,"2020-03-30 08:34:13","2020-03-30 08:34:13"
